Designator,Footprint,Quantity,Value,LCSC Part #
J303,Stocko_MKS_1656-6-0-606_1x6_P2.50mm_Vertical,1,Screw_Terminal_01x06,
RV204,Potentiometer_Bourns_3214X_Vertical,1,100k,
RV203,Potentiometer_Bourns_3214X_Vertical,1,50k,
U203,SOP-8_3.76x4.96mm_P1.27mm,1,LM741,
C105,C_1206_3216Metric,1,10u,C13585
R117,R_0603_1608Metric,1,12k,C22790
U204,SOP-8_3.76x4.96mm_P1.27mm,1,LM741,
Q101,SOT-23,1,AO3401A,C15127
C103,C_1206_3216Metric,1,10u,C13585
C113,C_1206_3216Metric,1,10u,C13585
R205,R_0402_1005Metric,1,1k,
H302,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole_Pad,
RV206,Potentiometer_Bourns_3214X_Vertical,1,100k,
C101,C_0603_1608Metric,1,10n,C57112
R213,R_0402_1005Metric,1,100,
R106,R_0603_1608Metric,1,5k1,C23186
R202,R_0402_1005Metric,1,1k,
D104,LED_0805_2012Metric,1,YELLOW,C2296
R111,R_0603_1608Metric,1,12k,C22790
C109,C_0603_1608Metric,1,10n,C57112
R107,R_0603_1608Metric,1,4k3,C23159
D105,D_SOD-123,1,B5819W,C8598
R212,R_0402_1005Metric,1,1k,
U202,SOP-8_3.76x4.96mm_P1.27mm,1,LM741,
D101,D_SOD-123,1,B5819W,C8598
C102,CP_Elec_6.3x5.3,1,22uF/25V,
RV202,Potentiometer_Bourns_3214X_Vertical,1,50k,
R203,R_0603_1608Metric,1,10k,C22775
H301,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole_Pad,
C204,CP_Elec_6.3x7.7,1,220u,C127327
J101,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
R104,R_0603_1608Metric,1,100k,C25803
C104,CP_Elec_6.3x7.7,1,220u,C127327
R207,R_0402_1005Metric,1,1k,
H304,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole_Pad,
Q201,SOT-23-3,1,FDV301N,FDV301N
Q102,SOT-23,1,AO3401A,C15127
R204,R_0402_1005Metric,1,1k,
C201,C_1206_3216Metric,1,1u,C13585
C202,C_1206_3216Metric,1,1u,C13585
R105,R_0603_1608Metric,1,3k3,C22978
R201,R_0402_1005Metric,1,1k,
L101,L_Sunlord_MWSA0518_5.4x5.2mm,1,47u,C169398
R116,R_0603_1608Metric,1,100,C22775
U101,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
C106,C_1206_3216Metric,1,10u,C13585
R113,R_0603_1608Metric,1,100k,C25803
R210,R_0402_1005Metric,1,1k,
R110,R_0603_1608Metric,1,1M,C22935
R206,R_0402_1005Metric,1,1k,
R103,R_0603_1608Metric,1,10k,C25804
C110,C_0603_1608Metric,1,220n,C21120
L103,L_Sunlord_MWSA0518_5.4x5.2mm,1,10u,C139506
R115,R_0603_1608Metric,1,1M,C22935
D103,LED_0805_2012Metric,1,RED,C84256
R112,R_0603_1608Metric,1,110k,C25805
C107,C_0603_1608Metric,1,6p8,C1679
RV201,Potentiometer_Bourns_3214X_Vertical,1,50k,
SW201,SW_DIP_SPSTx08_Slide_6.7x21.88mm_W8.61mm_P2.54mm_LowProfile,1,SW_DIP_x06,
C203,C_1206_3216Metric,1,10u,C13585
L102,L_Sunlord_MWSA0518_5.4x5.2mm,1,10u,C139506
C115,C_0805_2012Metric,1,22u,C45783
C114,C_0603_1608Metric,1,100n,C14663
H303,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole_Pad,
C112,C_0603_1608Metric,1,8p2,C1685
R101,R_0603_1608Metric,1,100k,C25803
R208,R_0402_1005Metric,1,1k,
F101,Fuse_1812_4532Metric,1,500mA,C151168
D102,LED_0805_2012Metric,1,GREEN,C2297
C111,C_0603_1608Metric,1,4n7,C53987
D106,D_SOD-123,1,B5819W,C8598
R214,R_0402_1005Metric,1,1k,
R209,R_0402_1005Metric,1,6k,
C108,C_0805_2012Metric,1,22u,C45783
R211,R_0402_1005Metric,1,6k,
U102,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,TPS65131RGER,C87663
U201,SOIC-14_W3.9mm,1,LM324ADR,LM324ADR
R108,R_0603_1608Metric,1,1k5,C22843
RV205,Potentiometer_Bourns_3214X_Vertical,1,50k,
J302,PinHeader_1x08_P1.27mm_Vertical_SMD_Pin1Left,1,OSTTC080162,OSTTC080162
J301,PinHeader_1x08_P1.27mm_Vertical_SMD_Pin1Left,1,OSTTC080162,OSTTC080162
